Time,Open,High,Low,Close,Volume
14/07/2019,1415.408,1419.698,1412.758,1416.158,120
15/07/2019,1416.208,1418.158,1407.655,1415.398,1379
16/07/2019,1415.395,1416.235,1400.758,1405.138,1377
17/07/2019,1405.128,1430.085,1400.018,1424.578,1380
18/07/2019,1424.615,1452.888,1414.578,1442.865,1380
19/07/2019,1442.865,1445.228,1420.098,1425.168,1259
21/07/2019,1427.598,1428.445,1423.515,1424.985,120
22/07/2019,1424.915,1429.955,1422.148,1423.625,1377
23/07/2019,1423.645,1430.085,1414.138,1416.975,1380
24/07/2019,1416.995,1429.445,1416.458,1425.215,1378
25/07/2019,1425.225,1433.698,1410.968,1414.985,1376
26/07/2019,1414.985,1424.768,1413.228,1417.948,1259
28/07/2019,1418.775,1420.808,1418.115,1420.065,120
29/07/2019,1420.068,1428.078,1414.718,1424.448,1378
30/07/2019,1424.448,1433.165,1422.258,1430.735,1380
31/07/2019,1430.758,1434.258,1408.895,1412.125,1379
01/08/2019,1412.125,1449.025,1400.418,1438.098,1378
02/08/2019,1438.088,1447.935,1430.225,1440.568,1261
04/08/2019,1439.898,1442.398,1436.648,1439.585,120
05/08/2019,1439.575,1474.658,1438.685,1473.905,1378
06/08/2019,1473.915,1477.225,1456.315,1476.735,1380
07/08/2019,1476.735,1510.278,1474.568,1501.625,1379
08/08/2019,1501.648,1509.475,1489.948,1504.145,1380
09/08/2019,1504.145,1508.008,1494.698,1496.948,1258
11/08/2019,1497.515,1501.445,1495,1500.705,120
12/08/2019,1500.695,1520.008,1487.258,1512.025,1380
13/08/2019,1512.025,1534.948,1479.715,1500.785,1379
14/08/2019,1500.755,1523.968,1494.085,1516.915,1381
15/08/2019,1516.865,1527.055,1507.848,1526.528,1379
16/08/2019,1526.498,1527.945,1503.635,1512.395,1259
18/08/2019,1512.398,1512.928,1507.898,1509.305,119
19/08/2019,1509.305,1512.685,1492.848,1496.035,1380
20/08/2019,1496.045,1508.508,1494.325,1506.095,1380
21/08/2019,1506.095,1507.398,1496.445,1502.538,1375
